#{"t_start": 1786073861.771441, "env_id": "None"}
r,l,t
-2.4,144,765.339235
-2.6,144,766.167774
-2.4,144,766.904622
-3.8,144,767.620869
-2.0,144,768.441135
-2.8,144,769.183918
-3.4,144,770.358637
-3.8,144,771.283123
-3.2,144,772.035124
-2.4,144,772.890274
-2.2,144,773.662
-2.4,144,774.485608
-3.6,144,775.337375
-2.4,144,776.088531
-2.6,144,777.127415
-1.8,144,778.043225
-2.6,144,779.398637
-2.2,144,780.235963
-2.4,144,781.198292
-1.4,144,782.422235
-0.8,144,784.183712
-1.8,144,786.440577
-2.8,144,788.152764
-4.0,144,790.396478
-2.6,144,792.192737
-3.0,144,793.997214
-4.4,144,795.732512
-1.8,144,796.565246
-4.4,144,797.334581
-1.4,144,798.223967
-3.2,144,799.153926
-1.4,144,800.02816
-2.4,144,800.883703
-2.6,144,801.974367
-3.4,144,803.138531
-3.2,144,803.970307
-1.8,144,804.912302
-1.6,144,805.870975
-1.6,144,806.968409
-2.0,144,807.562715
-2.6,144,808.686549
-2.8,144,809.881123
-2.2,144,810.833529
-2.8,144,811.925836
-2.8,144,813.116819
-3.6,144,813.933965
-2.6,144,814.72067
-2.8,144,815.864423
-2.6,144,816.996016
-2.4,144,817.995443
-2.4,144,818.972079
-2.4,144,820.246835
-2.4,144,821.09007
-2.4,144,821.736603
-1.2,144,822.595227
-3.0,144,823.427511
-2.0,144,824.192637
-1.2,144,824.920965
-2.0,144,825.71716
-2.8,144,826.480113
-1.6,144,827.216224
-2.4,144,828.753366
-2.0,144,830.005243
-3.0,144,831.051952
-3.0,144,831.861789
-3.0,144,832.719986
-2.8,144,833.528316
-1.4,144,834.304274
-3.0,144,835.358155
-1.8,144,836.281445
-1.8,144,837.146698
-2.4,144,837.927647
-1.6,144,838.943943
-1.6,144,839.805122
-2.2,144,840.509305
-1.0,144,841.908991
-1.4,144,842.812834
-3.0,144,843.627738
-1.6,144,844.39394
-1.0,144,845.362749
-3.4,144,846.32669
-0.8,144,847.114482
-2.4,144,847.954295
-1.8,144,848.884106
-2.0,144,849.906588
-2.2,144,850.616138
-1.8,144,851.63744
-2.0,144,852.513465
-2.4,144,853.302238
-2.2,144,854.126058
-2.4,144,855.013071
-1.4,144,856.182847
-1.6,144,857.007123
-2.4,144,857.983901
-2.4,144,858.997768
-0.8,144,859.802878
-2.8,144,861.226551
-1.2,144,861.99705
-3.4,144,863.162746
-1.6,144,863.909769
-2.6,144,865.179518
-2.2,144,866.215249
-1.6,144,867.355393
-1.4,144,868.118566
-1.2,144,869.30996
-2.0,144,870.340186
-2.4,144,871.166937
-2.4,144,871.959322
-1.2,144,873.712732
-1.6,144,875.014275
-1.0,144,875.881509
-2.2,144,876.919005
-1.2,144,877.972042
-2.0,144,879.299262
-2.2,144,880.077834
-1.4,144,881.184989
-1.0,144,882.098676
-2.0,144,882.938779
-2.4,144,883.751484
-1.2,144,884.826119
-1.4,144,886.525629
-1.8,144,888.264539
-2.8,144,889.306079
-1.4,144,890.289273
-1.2,144,891.310323
-1.8,144,892.506059
-1.4,144,893.31345
-2.0,144,894.217399
-1.4,144,895.395373
-1.8,144,896.317708
-0.6,144,897.150782
-0.6,144,897.904973
-2.0,144,898.62342
-2.2,144,899.746948
-0.4,144,900.555773
-1.6,144,901.300688
-2.6,144,902.290796
-1.4,144,903.505653
-1.6,144,904.219773
-1.6,144,904.881746
-1.2,144,905.846666
-1.8,144,906.788052
-1.2,144,908.439991
-1.2,144,909.466991
-1.4,144,910.624492
-2.0,144,911.437006
-2.0,144,912.327293
-2.4,144,914.114905
-1.2,144,915.376385
-1.0,144,916.226301
-1.6,144,917.127892
-3.0,144,918.083495
-1.4,144,919.529885
-1.0,144,920.214305
-2.2,144,921.116715
-1.4,144,921.996852
-1.4,144,922.740048
-1.2,144,923.427952
-2.4,144,924.392455
-1.4,144,925.400827
-0.8,144,926.058736
-1.2,144,927.000244
-0.8,144,927.815314
-1.6,144,928.700426
-1.8,144,929.337453
-0.8,144,930.209609
-1.2,144,931.040316
-0.6,144,931.729725
-0.6,144,932.411942
-1.4,144,933.196522
-1.6,144,933.98301
-1.8,144,934.624603
-2.2,144,935.429014
-1.0,144,936.207588
-1.2,144,936.922499
-0.6,144,937.564776
-3.4,144,938.332383
-2.0,144,939.099208
-1.0,144,939.70276
-0.8,144,940.451562
-0.6,144,941.217791
-1.4,144,941.969989
-1.2,144,942.588537
-2.2,144,943.361199
-1.6,144,944.151117
-1.6,144,944.779934
-1.2,144,945.572453
-0.6,144,946.365754
-1.6,144,947.119493
-1.8,144,947.746139
-2.2,144,948.509924
-1.0,144,949.32726
-1.4,144,950.02915
-1.2,144,950.697515
-0.8,144,951.464282
-1.6,144,952.216076
-2.0,144,952.8232
-1.0,144,953.580003
-1.8,144,954.350421
-0.2,144,955.132601
-1.4,144,955.773919
-1.6,144,956.537573
-0.8,144,957.315138
-0.4,144,957.946104
-0.8,144,958.721727
-1.2,144,959.492156
-1.2,144,960.242312
-1.0,144,960.880096
-1.2,144,961.652137
-1.0,144,962.412803
-0.8,144,963.031633
-0.2,144,963.826509
-0.6,144,964.618165
-0.6,144,965.412219
-0.4,144,966.039399
-1.0,144,966.809819
-1.2,144,967.579492
-1.0,144,968.267435
-1.2,144,968.930783
-1.6,144,969.692775
-0.4,144,970.447417
-0.8,144,971.068462
-0.4,144,971.855014
-0.6,144,972.60853
-1.2,144,973.329205
-1.4,144,974.005143
-1.2,144,974.794821
-1.6,144,975.60071
-0.6,144,976.263784
-0.8,144,977.047539
-1.4,144,977.825697
-0.8,144,978.621099
-1.2,144,979.261747
-0.8,144,980.035431
-0.2,144,980.820483
-0.8,144,981.450251
-0.8,144,982.229712
-0.2,144,983.016778
-0.8,144,983.810506
-0.6,144,984.468248
-1.6,144,985.23741
-1.2,144,986.024019
-1.6,144,986.707409
-0.6,144,987.435933
-1.2,144,988.244675
-0.4,144,989.041023
-1.4,144,989.702462
-1.2,144,990.497625
-1.2,144,991.28325
-0.6,144,991.986768
-0.8,144,992.652617
-0.4,144,993.463057
-0.2,144,994.25626
-0.8,144,994.881865
-0.6,144,995.640447
-0.8,144,996.409027
-0.6,144,997.266114
-0.4,144,997.89028
-0.2,144,998.66365
-0.2,144,999.435322
-1.0,144,1000.247566
-0.6,144,1001.272604
-0.2,144,1002.036963
-1.0,144,1002.793825
-1.4,144,1003.437868
-1.2,144,1004.238564
-1.0,144,1005.080535
-0.6,144,1005.835655
-0.6,144,1006.600988
-0.4,144,1007.557572
-0.2,144,1008.401731
-1.2,144,1009.059632
-0.2,144,1009.858725
-0.6,144,1010.677605
-0.6,144,1011.388219
-0.6,144,1012.020157
-1.0,144,1012.784751
-0.8,144,1013.580076
-0.4,144,1014.193541
-0.4,144,1014.969972
-0.6,144,1015.782566
-0.4,144,1016.526448
-0.2,144,1017.167637
-0.2,144,1017.951384
-0.6,144,1018.792743
-0.4,144,1019.450839
-0.8,144,1020.264697
-0.6,144,1021.070946
-0.8,144,1021.85892
-0.2,144,1022.488117
-0.4,144,1023.27472
-0.6,144,1024.143465
-0.2,144,1024.842363
-0.6,144,1025.521623
-0.2,144,1026.310863
-0.2,144,1027.240271
-0.2,144,1027.864762
-0.4,144,1028.646677
-0.8,144,1029.42195
-0.2,144,1030.113719
-0.2,144,1030.766712
-0.2,144,1031.544003
-0.2,144,1032.329779
-0.2,144,1032.964196
-0.6,144,1033.809976
-0.4,144,1034.601517
-0.2,144,1035.397428
-0.2,144,1036.037394
-0.8,144,1036.819422
-0.2,144,1037.621964
-0.2,144,1038.326991
-0.2,144,1039.150347
-0.2,144,1039.954534
-0.2,144,1040.743515
-1.0,144,1041.36466
-1.4,144,1042.128528
-0.2,144,1042.909824
-0.2,144,1043.577377
-0.6,144,1044.227651
-0.2,144,1045.004122
-0.2,144,1045.782223
-0.2,144,1046.396563
-0.2,144,1047.183481
-0.2,144,1047.977089
-0.6,144,1048.706824
-0.6,144,1049.361001
-0.2,144,1050.230396
-0.6,144,1051.031562
-0.4,144,1051.667711
-0.4,144,1052.460965
-0.2,144,1053.271538
-0.6,144,1054.071573
-0.6,144,1054.728673
-0.2,144,1055.544625
-0.2,144,1056.333611
-0.6,144,1056.970244
-0.6,144,1057.75528
-0.4,144,1058.55138
-0.4,144,1059.335093
-1.0,144,1059.98083
-0.2,144,1060.787176
-0.6,144,1061.567724
-0.6,144,1062.24397
-1.2,144,1062.909675
-0.2,144,1063.691209
-0.2,144,1064.485754
-0.2,144,1065.138629
-0.6,144,1066.081246
-0.6,144,1066.842499
-0.6,144,1067.89599
-0.2,144,1069.099231
-0.2,144,1070.100735
-0.2,144,1070.927424
-1.0,144,1071.571904
-0.2,144,1072.328834
-0.6,144,1073.30766
-0.6,144,1074.788763
-0.4,144,1075.526722
-0.2,144,1076.606647
-0.8,144,1077.47418
-0.2,144,1078.100968
-0.2,144,1079.687574
-0.6,144,1081.411744
-0.2,144,1083.248706
-0.2,144,1084.063659
-0.2,144,1086.668692
-0.2,144,1088.700574
-0.2,144,1089.420953
-0.6,144,1090.282255
-0.2,144,1091.36982
-0.4,144,1092.20004
-0.6,144,1092.895642
-0.2,144,1094.508165
-0.2,144,1095.464695
-0.2,144,1096.186869
-1.4,144,1096.999017
-0.2,144,1097.78142
-0.6,144,1098.55455
-0.6,144,1099.18513
-0.8,144,1099.974176
-0.4,144,1100.75263
-1.6,144,1101.682552
-0.4,144,1102.474359
-0.2,144,1103.345835
-1.0,144,1104.28028
-0.8,144,1104.947026
-0.2,144,1105.771821
-0.2,144,1106.599151
-0.2,144,1107.408938
-0.2,144,1108.079805
-0.2,144,1108.955518
-0.6,144,1109.991521
-0.8,144,1110.71931
-0.2,144,1112.007667
-0.8,144,1113.071946
-0.2,144,1113.960163
-0.4,144,1114.632511
-0.2,144,1115.44848
-1.0,144,1116.215233
-0.2,144,1116.934499
-0.2,144,1117.579412
-0.2,144,1118.37566
-1.0,144,1119.157822
-0.2,144,1119.780409
