#{"t_start": 1786077211.5311282, "env_id": "None"}
r,l,t
-3.4,144,774.662472
-2.0,144,775.518066
-1.0,144,776.155128
-0.8,144,777.069409
-0.6,144,777.919498
-1.4,144,778.679723
-1.2,144,779.423165
-2.2,144,780.267744
-1.6,144,781.072343
-1.6,144,781.722096
-1.2,144,782.667042
-0.6,144,783.528431
-1.6,144,784.288868
-1.8,144,784.945488
-2.2,144,785.803741
-1.0,144,786.612459
-1.4,144,787.317982
-1.2,144,787.989842
-0.8,144,788.739398
-1.6,144,789.513464
-2.0,144,790.150714
-1.0,144,790.922124
-1.8,144,791.705395
-0.2,144,792.432578
-1.4,144,793.082195
-1.6,144,793.850858
-0.8,144,794.632013
-0.4,144,795.257198
-0.8,144,796.031659
-1.2,144,796.805017
-1.2,144,797.589615
-1.0,144,798.229117
-1.2,144,799.018617
-1.0,144,799.789806
-0.8,144,800.418196
-0.2,144,801.309685
-0.6,144,802.092537
-0.6,144,802.896
-0.4,144,803.55448
-1.0,144,804.331085
-1.2,144,805.097177
-1.0,144,805.765056
-1.2,144,806.415402
-1.6,144,807.17827
-0.4,144,807.954185
-0.8,144,808.611596
-0.4,144,809.395389
-0.6,144,810.166554
-1.2,144,810.870888
-1.4,144,811.520179
-1.2,144,812.304619
-1.6,144,813.096534
-0.6,144,813.760703
-0.8,144,814.540627
-1.4,144,815.323814
-0.8,144,816.097539
-1.2,144,816.74046
-0.8,144,817.529227
-0.2,144,818.31692
-0.8,144,818.953117
-0.8,144,819.735296
-0.2,144,820.504615
-0.8,144,821.265935
-0.6,144,821.892719
-1.6,144,822.751119
-1.2,144,823.552565
-1.6,144,824.216137
-0.6,144,824.891809
-1.2,144,825.688374
-0.4,144,826.497654
-1.4,144,827.149091
-1.2,144,827.924352
-1.2,144,828.70902
-0.6,144,829.470445
-0.8,144,830.117688
-0.4,144,830.926313
-0.2,144,831.732109
-0.8,144,832.363869
-0.6,144,833.145754
-0.8,144,833.941213
-0.6,144,834.717808
-0.4,144,835.341181
-0.2,144,836.109061
-0.2,144,836.898879
-1.0,144,837.538443
-0.6,144,838.324291
-0.2,144,839.115596
-1.0,144,839.913803
-1.4,144,840.545115
-1.2,144,841.310808
-1.0,144,842.112242
-0.6,144,842.803396
-0.6,144,843.468402
-0.4,144,844.284909
-0.2,144,845.129544
-1.2,144,845.772962
-0.2,144,846.570363
-0.6,144,847.362224
-0.6,144,848.069223
-0.6,144,848.720346
-1.0,144,849.498869
-0.8,144,850.291646
-0.4,144,850.922342
-0.4,144,851.688784
-0.6,144,852.458353
-0.4,144,853.207275
-0.2,144,853.841839
-0.2,144,854.642278
-0.6,144,855.443007
-0.4,144,856.088326
-0.8,144,856.896066
-0.6,144,857.686482
-0.8,144,858.483546
-0.2,144,859.151709
-0.4,144,859.958523
-0.6,144,861.460103
-0.2,144,862.412037
-0.6,144,863.66623
-0.2,144,864.492725
-0.2,144,865.33146
-0.2,144,866.056674
-0.4,144,866.859743
-0.8,144,867.62189
-0.2,144,868.346851
-0.2,144,869.055872
-0.2,144,869.83852
-0.2,144,870.616285
-0.2,144,871.573261
-0.6,144,872.929823
-0.4,144,873.721102
-0.2,144,874.584635
-0.2,144,875.258159
-0.8,144,876.045245
-0.2,144,876.848163
-0.2,144,877.54517
-0.2,144,878.39349
-0.2,144,879.205621
-0.2,144,879.993846
-1.0,144,880.615727
-1.4,144,881.401118
-0.2,144,882.176796
-0.2,144,882.861436
-0.6,144,883.572383
-0.2,144,884.364352
-0.2,144,885.130545
-0.2,144,885.747648
-0.2,144,886.515999
-0.2,144,887.301261
-0.6,144,888.034445
-0.6,144,888.73736
-0.2,144,889.551496
-0.6,144,890.436875
-0.4,144,891.068481
-0.4,144,891.844519
-0.2,144,892.653199
-0.6,144,893.483446
-0.6,144,894.137829
-0.2,144,894.924672
-0.2,144,895.701774
-0.6,144,896.319512
-0.6,144,897.108768
-0.4,144,897.911218
-0.4,144,898.690855
